3D Geometry Processing                                                            ,https://mcs.unibnf.ch/courses/3d-geometry-processing/                                                          ,Course  ,Bern      ,31097       ,T3 – Advanced Information Processing                              ,T3      ,Weekly         ,"Thursday, 09:15 - 12:00"  ,"UniBE, Engehaldenstrasse 8"    ,
Advanced Topics in Decision Support                                               ,https://mcs.unibnf.ch/courses/advanced-topics-in-decision-support/                                             ,Course  ,Fribourg  ,53086       ,T5 – Information Systems and Decision Support                     ,T5      ,Weekly         ,"Wednesday, 15:15 - 18:00" ,"UniFR, PER21"                  ,
Advanced Topics in Machine Learning                                               ,https://mcs.unibnf.ch/courses/advanced-topics-in-machine-learning/                                             ,Course  ,Bern      ,31088/61088 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Weekly         ,"Tuesday, 09:15 - 12:00"   ,"UniBE, Engehaldenstrasse 8"    ,
Cloud Computing                                                                   ,https://mcs.unibnf.ch/courses/cloud-computing/                                                                 ,Course  ,Neuchâtel ,12083/62083 ,T1 – Distributed Systems & T6 – Data Science                      ,T1 & T6 ,Weekly         ,"Thursday, 14:15 - 18:00"  ,"UniNE, Unimail"                ,
Computational Complexity                                                          ,https://mcs.unibnf.ch/courses/computational-complexity/                                                        ,Course  ,Bern      ,41026       ,T4 – Logic                                                        ,T4      ,Weekly         ,"Tuesday, 14:15 - 17:00"   ,"UniBE, ExWi"                   ,
Cryptographic Protocols                                                           ,https://mcs.unibnf.ch/courses/cryptographic-protocols/                                                         ,Course  ,Bern      ,11106/41106 ,T1 – Distributed Systems & T4 – Logic                             ,T1 & T4 ,Weekly         ,"Wednesday, 14:15 - 17:00" ,"UniBE, Engehaldenstrasse 8"    ,
Design and Graphics Programming for Game Development                              ,https://mcs.unibnf.ch/courses/design-and-graphics-programming-for-game-development/                            ,Course  ,Fribourg  ,33006       ,T3 – Advanced Information Processing                              ,T3      ,Weekly         ,"Friday, 14:15 - 17:00"    ,"UniFR, PER21"                  ,
EGovernment Frameworks                                                            ,https://mcs.unibnf.ch/courses/egovernment-frameworks/                                                          ,Course  ,Neuchâtel ,52028       ,T5 – Information Systems and Decision Support                     ,T5      ,Weekly         ,"Monday, 14:15 - 18:00"    ,"UniNE, Unimail"                ,
Fuzzy Systems Modeling                                                            ,https://mcs.unibnf.ch/courses/fuzzy-systems-modeling/                                                          ,Course  ,Fribourg  ,53104       ,T5 – Information Systems and Decision Support                     ,T5      ,Weekly         ,"Friday, 09:15 - 12:00"    ,"UniFR, PER21"                  ,
Integer Programming                                                               ,https://mcs.unibnf.ch/courses/integer-programming/                                                             ,Course  ,Fribourg  ,53073       ,T5 – Information Systems and Decision Support                     ,T5      ,Weekly         ,"Thursday, 13:15 - 16:00"  ,"UniFR, PER21"                  ,
Internet of Things                                                                ,https://mcs.unibnf.ch/courses/internet-of-things/                                                              ,Course  ,Bern      ,11043       ,T1 – Distributed Systems                                          ,T1      ,Weekly         ,"Monday, 10:15 - 13:00"    ,"UniBE, Engehaldenstrasse 8"    ,
Introduction to Recommender Systems                                               ,https://mcs.unibnf.ch/courses/introduction-to-recommender-systems/                                             ,Course  ,Fribourg  ,53084/63084 ,T5 – Information Systems and Decision Support & T6 – Data Science ,T5 & T6 ,Weekly         ,"Thursday, 10:15 - 13:00"  ,"UniFR, PER21"                  ,
Metamodeling                                                                      ,https://mcs.unibnf.ch/courses/metamodeling/                                                                    ,Course  ,Fribourg  ,53098       ,T5 – Information Systems and Decision Support                     ,T5      ,Weekly         ,"Wednesday, 12:15 - 15:00" ,"UniFR, PER21"                  ,
Multimodal User Interfaces                                                        ,https://mcs.unibnf.ch/courses/multimodal-user-interfaces/                                                      ,Course  ,Fribourg  ,03035/33035 ,T0 – General & T3 – Advanced Information Processing               ,T0 & T3 ,Weekly         ,"Friday, 10:15 - 13:00"    ,"UniFR, PER21"                  ,
Pattern Recognition                                                               ,https://mcs.unibnf.ch/courses/pattern-recognition/                                                             ,Course  ,Fribourg  ,33082/63082 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Weekly         ,"Monday, 14:15 - 17:00"    ,"UniFR, PER21"                  ,
