Seminar Machine Learning and Artificial Intelligence                              ,https://mcs.unibnf.ch/courses/seminar-machine-learning-and-artificial-intelligence-2/                          ,Seminar ,Bern      ,31816/61816 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Paolo Favaro                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841398.html ,Weekly         ,"Monday, 10:15 - 12:00"                                                                   ,"UniBE, Neubrückstrasse 10"     ,302
Internet of Things                                                                ,https://mcs.unibnf.ch/courses/internet-of-things/                                                              ,Course  ,Bern      ,11043       ,T1 – Distributed Systems                                          ,T1      ,Torsten Braun                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841379.html ,Weekly         ,"Monday, 10:15 - 13:00"                                                                   ,"UniBE, Engehaldenstrasse 8"    ,003
Seminar Communication and Distributed Systems                                     ,https://mcs.unibnf.ch/courses/seminar-communication-and-distributed-systems-2/                                 ,Seminar ,Bern      ,11814       ,T1 – Distributed Systems                                          ,T1      ,Torsten Braun                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841389.html ,Weekly         ,"Monday, 13:15 - 15:00"                                                                   ,"UniBE, Neubrückstrasse 10"     ,302
Pattern Recognition                                                               ,https://mcs.unibnf.ch/courses/pattern-recognition/                                                             ,Course  ,Fribourg  ,33082/63082 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Andreas Fischer                                  ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841382.html ,Weekly         ,"Monday, 14:15 - 17:00"                                                                   ,"UniFR, PER21"                  ,D230
EGovernment Frameworks                                                            ,https://mcs.unibnf.ch/courses/egovernment-frameworks/                                                          ,Course  ,Neuchâtel ,52028       ,T5 – Information Systems and Decision Support                     ,T5      ,Alain Sandoz                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841376.html ,Weekly         ,"Monday, 14:15 - 18:00"                                                                   ,"UniNE, Unimail"                ,
Advanced Topics in Machine Learning                                               ,https://mcs.unibnf.ch/courses/advanced-topics-in-machine-learning/                                             ,Course  ,Bern      ,31088/61088 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Paolo Favaro                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841372.html ,Weekly         ,"Tuesday, 09:15 - 12:00"                                                                  ,"UniBE, Engehaldenstrasse 8"    ,002
Seminar Software Composition                                                      ,https://mcs.unibnf.ch/courses/seminar-software-composition-2/                                                  ,Seminar ,Bern      ,21792       ,T2 – Advanced Software Engineering                                ,T2      ,Oscar Nierstrasz                                 ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841399.html ,Weekly         ,"Tuesday, 10:15 - 12:00"                                                                  ,"UniBE, Schützenmattstrasse 14" ,
Document Image Analysis                                                           ,https://mcs.unibnf.ch/courses/document-image-analysis/                                                         ,Course  ,Fribourg  ,33107/63107 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Rolf Ingold                                      ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_2034264.html ,Weekly         ,"Tuesday, 14:15 - 17:00"                                                                  ,"UniFR, PER21"                  ,
Introduction to Recommender Systems                                               ,https://mcs.unibnf.ch/courses/introduction-to-recommender-systems/                                             ,Course  ,Fribourg  ,53084/63084 ,T5 – Information Systems and Decision Support & T6 – Data Science ,T5 & T6 ,Edy Portmann & Luis Terán                        ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841380.html ,Weekly         ,"Tuesday, 14:15 - 17:00"                                                                  ,"UniFR, PER21"                  ,E230
R&D Workshop                                                                      ,https://mcs.unibnf.ch/courses/rd-workshop/                                                                     ,Seminar ,Neuchâtel ,02810       ,T0 – General                                                      ,T0      ,Jacques Savoy & Peter Kropf                      ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841386.html ,Weekly         ,"Tuesday, 14:15 - 18:00"                                                                  ,"UniNE, Unimail"                ,
Verification of Cyber-physical Systems                                            ,https://mcs.unibnf.ch/courses/applied-cryptography/                                                            ,Course  ,Fribourg  ,13081/43081 ,T1 – Distributed Systems & T4 – Logic                             ,T1 & T4 ,Ulrich Ultes-Nitsche                             ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841385.html ,Weekly         ,"Wednesday, 09:15 - 12:00"                                                                ,"UniFR, PER21"                  ,F130
Seminar Cryptography and Data Security                                            ,https://mcs.unibnf.ch/courses/seminar-cryptography-and-data-security-2/                                        ,Seminar ,Bern      ,11848       ,T1 – Distributed Systems                                          ,T1      ,Christian Cachin & Giorgia Marson                ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841392.html ,Weekly         ,"Wednesday, 10:15 - 12:00"                                                                ,"UniBE, Engehaldenstrasse 8"    ,002
Metamodeling                                                                      ,https://mcs.unibnf.ch/courses/metamodeling/                                                                    ,Course  ,Fribourg  ,53098       ,T5 – Information Systems and Decision Support                     ,T5      ,Hans-Georg Fill                                  ,                                                          ,Weekly         ,"Wednesday, 12:15 - 15:00"                                                                ,"UniFR, PER21"                  ,E130
Cryptographic Protocols                                                           ,https://mcs.unibnf.ch/courses/cryptographic-protocols/                                                         ,Course  ,Bern      ,11106/41106 ,T1 – Distributed Systems & T4 – Logic                             ,T1 & T4 ,Christian Cachin                                 ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841374.html ,Weekly         ,"Wednesday, 14:15 - 17:00"                                                                ,"UniBE, Engehaldenstrasse 8"    ,002
Advanced Topics in Decision Support                                               ,https://mcs.unibnf.ch/courses/advanced-topics-in-decision-support/                                             ,Course  ,Fribourg  ,53086       ,T5 – Information Systems and Decision Support                     ,T5      ,Bernard Ries                                     ,                                                          ,Weekly         ,"Wednesday, 15:15 - 18:00"                                                                ,"UniFR, PER21"                  ,C230
Seminar Logic and Theoretical Computer Science                                    ,https://mcs.unibnf.ch/courses/seminar-logic-and-theoretical-computer-science-2/                                ,Seminar ,Bern      ,41821       ,T4 – Logic                                                        ,T4      ,Thomas Strahm & Thomas Studer                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841397.html ,Weekly         ,"Wednesday, 16:00 - 17:30 or Thursday, 10:15 - 12:00 according to separate announcements" ,"UniBE, ExWi"                   ,A097
3D Geometry Processing                                                            ,https://mcs.unibnf.ch/courses/3d-geometry-processing/                                                          ,Course  ,Bern      ,31097       ,T3 – Advanced Information Processing                              ,T3      ,David Bommes                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841371.html ,Weekly         ,"Thursday, 09:15 - 12:00"                                                                 ,"UniBE, Engehaldenstrasse 8"    ,001
Seminar Computer Graphics and Geometry Processing                                 ,https://mcs.unibnf.ch/courses/seminar-computer-graphics-and-geometry-processing-2/                             ,Seminar ,Bern      ,31815       ,T3 – Advanced Information Processing                              ,T3      ,David Bommes                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841390.html ,Weekly         ,"Thursday, 14:15 - 16:00"                                                                 ,"UniBE, Neubrückstrasse 10"     ,302
Cloud Computing                                                                   ,https://mcs.unibnf.ch/courses/cloud-computing/                                                                 ,Course  ,Neuchâtel ,12083/62083 ,T1 – Distributed Systems & T6 – Data Science                      ,T1 & T6 ,Lorenzo Leonini                                  ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1848621.html ,Weekly         ,"Thursday, 14:15 - 18:00"                                                                 ,"UniNE, Unimail"                ,
Fuzzy Systems Modeling                                                            ,https://mcs.unibnf.ch/courses/fuzzy-systems-modeling/                                                          ,Course  ,Fribourg  ,53104       ,T5 – Information Systems and Decision Support                     ,T5      ,Edy Portmann                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841377.html ,Weekly         ,"Friday, 09:15 - 12:00"                                                                   ,"UniFR, PER21"                  ,D230
Multimodal User Interfaces                                                        ,https://mcs.unibnf.ch/courses/multimodal-user-interfaces/                                                      ,Course  ,Fribourg  ,03035/33035 ,T0 – General & T3 – Advanced Information Processing               ,T0 & T3 ,Denis Lalanne                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841381.html ,Weekly         ,"Friday, 10:15 - 13:00"                                                                   ,"UniFR, PER21"                  ,B130
